id_cliente;nome_cliente;idade;data_atendimento;serviço;produto_vendido;valor_serviço;valor_produto
C250;Pedro Lucas Martins;71;2024-01-01;Combo 1;;110;0
C225;Sr. João Felipe Pires;56;2024-01-01;Corte a Maquina;;55;0
C234;Joaquim Fernandes;33;2024-01-01;Limpeza de pele;;45;0
C119;Erick Caldeira;78;2024-01-01;Depilação de nariz;Shampoo de barba;35;49
C243;Diogo Ribeiro;61;2024-01-01;Acabamento;;28;0
C110;Diego Moraes;19;2024-01-01;Acabamento;;28;0
C221;João Felipe Almeida;14;2024-01-01;Combo 1;Shampoo de barba;110;49
C084;Nicolas Oliveira;31;2024-01-01;Barba Modelada;;55;0
C082;Yuri Teixeira;43;2024-01-02;Combo 1;;110;0
C211;Cauê Almeida;29;2024-01-02;Barba Modelada;;55;0
C128;Gustavo Henrique Cardoso;3;2024-01-02;Combo 1;;110;0
C019;Calebe Gomes;5;2024-01-02;Corte de Cabelo;;70;0
C172;Dr. Luiz Henrique Azevedo;62;2024-01-02;Corte de Cabelo;;70;0
C066;Benício Moreira;22;2024-01-02;Limpeza de pele;Pomada de cabelo;45;89
C176;Lucas Gabriel Costela;69;2024-01-02;Limpeza de pele;;45;0
C193;Diego Campos;4;2024-01-02;Combo 1;;110;0
C205;Luiz Felipe Almeida;44;2024-01-02;Limpeza de pele;Balm;45;49
C023;Luiz Gustavo Moreira;55;2024-01-02;Corte a Maquina;Balm;55;49
C098;Dr. Nathan Viana;35;2024-01-02;Combo 2;Balm;100;49
C124;Dr. Gustavo Henrique Rodrigues;61;2024-01-02;Combo 2;;100;0
C149;Enzo Gabriel Rocha;49;2024-01-02;Corte a Maquina;Pomada de cabelo;55;89
C247;Dr. Danilo Caldeira;72;2024-01-02;Combo 1;Shampoo de barba;110;49
C224;Noah Nascimento;47;2024-01-02;Barba Modelada;;55;0
C223;Samuel Souza;57;2024-01-03;Corte de Cabelo;;70;0
C223;Samuel Souza;57;2024-01-03;Barba Modelada;;55;0
C232;Levi da Mota;45;2024-01-03;Combo 1;;110;0
C075;Thiago da Rosa;33;2024-01-03;Limpeza de pele;;45;0
C085;João Lucas Azevedo;6;2024-01-03;Combo 1;;110;0
C047;Diogo Lima;17;2024-01-03;Combo 1;;110;0
C029;Pedro Miguel da Cunha;22;2024-01-03;Combo 1;Balm;110;49
C021;Breno Nogueira;27;2024-01-03;Depilação de orelha;;35;0
C075;Thiago da Rosa;33;2024-01-04;Hidratação;;70;0
C053;Guilherme Fogaça;75;2024-01-04;Combo 1;;110;0
C097;Nicolas Gomes;20;2024-01-04;Corte de Cabelo;Shampoo de barba;70;49
C001;Carlos Eduardo Silveira;16;2024-01-04;Corte de Cabelo;;70;0
C005;Dr. Enrico Ribeiro;30;2024-01-04;Barba Modelada;;55;0
C146;Sr. Davi Luiz Cardoso;79;2024-01-04;Sobrancelha;;35;0
C235;Augusto Peixoto;26;2024-01-04;Corte de Cabelo;;70;0
C161;Luiz Miguel Sales;32;2024-01-04;Combo 2;Pomada de cabelo;100;89
C161;Luiz Miguel Sales;32;2024-01-04;Corte de Cabelo;Pomada de cabelo;70;89
C234;Joaquim Fernandes;33;2024-01-04;Acabamento;Pomada de cabelo;28;89
C057;Sr. Juan Cavalcanti;31;2024-01-04;Corte de Cabelo;Shampoo de barba;70;49
C177;Thiago Melo;79;2024-01-04;Acabamento;;28;0
C239;Danilo Pinto;19;2024-01-04;Depilação de orelha;;35;0
C193;Diego Campos;4;2024-01-04;Corte a Maquina;Pomada de cabelo;55;89
C181;Dr. Enzo Gabriel Pinto;27;2024-01-04;Barba Modelada;;55;0
C123;Diogo Mendes;78;2024-01-05;Depilação de nariz;;35;0
C140;Cauã Freitas;66;2024-01-05;Barba Modelada;;55;0
C051;Lorenzo Fernandes;39;2024-01-05;Corte de Cabelo;Shampoo de barba;70;49
C218;Sr. Emanuel da Mata;62;2024-01-05;Acabamento;Pomada de cabelo;28;89
C115;Bernardo Viana;16;2024-01-05;Combo 1;;110;0
C114;João Gabriel da Mota;8;2024-01-05;Corte a Maquina;;55;0
C197;Dr. Lucca Porto;77;2024-01-05;Sobrancelha;;35;0
C209;Lorenzo Martins;37;2024-01-05;Combo 1;Shampoo de barba;110;49
C187;Ian Moraes;59;2024-01-05;Barba Modelada;;55;0
C228;Benjamin Carvalho;8;2024-01-05;Combo 1;Pomada de cabelo;110;89
C095;João Lucas Barbosa;52;2024-01-05;Corte de Cabelo;;70;0
C088;Sr. Bruno Rocha;36;2024-01-05;Corte de Cabelo;;70;0
C075;Thiago da Rosa;33;2024-01-05;Barba Modelada;;55;0
C198;Dr. Luiz Miguel Vieira;30;2024-01-05;Combo 1;;110;0
C157;Erick da Cruz;4;2024-01-05;Combo 1;;110;0
C107;Dr. Gabriel Souza;53;2024-01-06;Combo 1;;110;0
C244;Sr. Benjamin Moura;33;2024-01-06;Acabamento;Shampoo de barba;28;49
C063;Marcos Vinicius da Mata;37;2024-01-06;Corte de Cabelo;;70;0
C122;Nathan Moura;50;2024-01-06;Combo 1;;110;0
C008;Dr. Calebe Caldeira;71;2024-01-06;Sobrancelha;;35;0
C205;Luiz Felipe Almeida;44;2024-01-06;Barba Modelada;;55;0
C186;Rodrigo Castro;68;2024-01-06;Combo 1;;110;0
C171;Erick Ferreira;18;2024-01-06;Corte de Cabelo;;70;0
C126;Davi da Cunha;34;2024-01-06;Corte de Cabelo;Shampoo de barba;70;49
C150;Pedro Henrique Pereira;22;2024-01-06;Combo 1;;110;0
C035;Cauê Pereira;45;2024-01-06;Corte a Maquina;;55;0
C147;Miguel Alves;27;2024-01-06;Combo 2;;100;0
C036;Dr. Davi Lucas Azevedo;15;2024-01-06;Combo 1;Pomada de cabelo;110;89
C249;Bryan da Mata;8;2024-01-07;Corte a Maquina;;55;0
C060;Marcos Vinicius Lopes;31;2024-01-07;Barba Modelada;;55;0
C032;Gabriel Teixeira;37;2024-01-07;Combo 1;;110;0
C219;Lucca Nogueira;54;2024-01-07;Corte a Maquina;;55;0
C047;Diogo Lima;17;2024-01-07;Combo 1;;110;0
C053;Guilherme Fogaça;75;2024-01-07;Acabamento;;28;0
C024;Breno das Neves;30;2024-01-07;Sobrancelha;Pomada de cabelo;35;89
C250;Pedro Lucas Martins;71;2024-01-07;Combo 1;;110;0
C223;Samuel Souza;57;2024-01-07;Corte de Cabelo;Shampoo de barba;70;49
C076;Marcelo Mendes;22;2024-01-07;Corte a Maquina;;55;0
C198;Dr. Luiz Miguel Vieira;30;2024-01-07;Combo 1;Pomada de cabelo;110;89
C203;Renan da Mota;10;2024-01-07;Combo 1;Balm;110;49
C105;João Vitor Cunha;56;2024-01-07;Acabamento;Shampoo de barba;28;49
C186;Rodrigo Castro;68;2024-01-07;Combo 1;Pomada de cabelo;110;89
C115;Bernardo Viana;16;2024-01-07;Corte a Maquina;;55;0
C242;Davi Novaes;37;2024-01-07;Depilação de orelha;;35;0
C173;Lucca da Paz;72;2024-01-07;Combo 1;;110;0
C122;Nathan Moura;50;2024-01-07;Hidratação;Balm;70;49
C160;Noah Porto;41;2024-01-07;Combo 1;;110;0
C191;Enrico Peixoto;10;2024-01-07;Combo 1;Balm;110;49
C082;Yuri Teixeira;43;2024-01-08;Depilação de orelha;;35;0
C190;Luiz Felipe Carvalho;30;2024-01-08;Combo 2;;100;0
C048;Otávio Araújo;50;2024-01-08;Corte a Maquina;;55;0
C180;Bryan Azevedo;71;2024-01-08;Barba Modelada;;55;0
C128;Gustavo Henrique Cardoso;3;2024-01-08;Corte de Cabelo;;70;0
C248;Bernardo Rocha;14;2024-01-09;Combo 1;;110;0
C148;Sr. Enrico Teixeira;21;2024-01-09;Barba Modelada;;55;0
C042;João Vitor Cardoso;79;2024-01-09;Corte de Cabelo;;70;0
C215;Dr. Luiz Gustavo da Luz;75;2024-01-09;Sobrancelha;;35;0
C238;Dr. Heitor da Costa;59;2024-01-09;Combo 2;Balm;100;49
C164;Nathan Cardoso;74;2024-01-09;Barba Modelada;;55;0
